f_0,f_1,f_2,f_3,f_4,f_5,f_6,f_7,f_8,f_9,f_10,f_11,f_12,f_13,f_14,f_15,f_16,f_17,f_18,f_19,f_20,f_21,f_22,f_23,f_24,f_25,f_26,f_27,f_28,f_29,f_30,f_31,f_32,f_33,f_34,f_35,f_36,f_37,f_38,f_39,ClassId,Path
158816.0,136496.0,102156.0,85912.0,106512.0,100676.0,95432.0,89104.0,81800.0,78612.0,83796.0,98060.0,111044.0,117648.0,118388.0,106176.0,101976.0,111916.0,119628.0,124920.0,126400.0,125912.0,124208.0,117612.0,116032.0,108632.0,110212.0,122896.0,128512.0,122988.0,114804.0,103708.0,96644.0,101808.0,107680.0,110516.0,99512.0,96620.0,89936.0,86524.0,0,Train/0/00000_00000_00012.png
121728.0,88864.0,96900.0,117484.0,99352.0,103416.0,85068.0,76148.0,75536.0,82872.0,98600.0,112228.0,119540.0,116136.0,103164.0,101544.0,110436.0,121072.0,126828.0,128732.0,128856.0,128708.0,127424.0,117936.0,106156.0,105852.0,118444.0,128524.0,127256.0,123864.0,112840.0,95960.0,89620.0,101124.0,112948.0,103408.0,102732.0,100696.0,97076.0,84972.0,0,Train/0/00000_00000_00013.png
154360.0,159008.0,133644.0,100600.0,91324.0,106440.0,105520.0,102356.0,91576.0,79772.0,77324.0,82468.0,97188.0,109160.0,117456.0,115060.0,103628.0,100596.0,106668.0,112340.0,120708.0,124976.0,126432.0,126648.0,124476.0,120064.0,106804.0,102108.0,119348.0,125632.0,122160.0,115852.0,104592.0,99024.0,91508.0,100544.0,111100.0,114432.0,107312.0,101260.0,0,Train/0/00000_00000_00014.png
155388.0,126708.0,93536.0,89332.0,109080.0,102612.0,100404.0,88824.0,81024.0,80048.0,84044.0,101516.0,114220.0,120256.0,113944.0,100780.0,102308.0,108872.0,113140.0,113748.0,115788.0,122248.0,123552.0,125028.0,118524.0,110772.0,112352.0,122188.0,123212.0,116128.0,105872.0,98924.0,99480.0,96328.0,95848.0,104356.0,109640.0,121104.0,124580.0,120776.0,0,Train/0/00000_00000_00015.png
94536.0,82416.0,106212.0,105960.0,94400.0,87108.0,72708.0,70436.0,70936.0,85000.0,101260.0,112704.0,117624.0,110940.0,101488.0,102568.0,109332.0,114968.0,118312.0,118220.0,117664.0,117428.0,119432.0,117112.0,109268.0,106424.0,121292.0,127344.0,121000.0,113472.0,101332.0,86760.0,82008.0,88940.0,99220.0,93536.0,88520.0,96980.0,104160.0,108936.0,0,Train/0/00000_00000_00016.png
147712.0,107168.0,79408.0,93964.0,112360.0,92456.0,89004.0,73504.0,69196.0,69196.0,80788.0,97712.0,109508.0,115088.0,109304.0,96028.0,97940.0,106732.0,113112.0,116784.0,117796.0,117892.0,117872.0,116744.0,113620.0,106256.0,109040.0,123548.0,129456.0,124364.0,115400.0,100372.0,83984.0,78764.0,80184.0,88308.0,88328.0,79120.0,82148.0,92224.0,0,Train/0/00000_00000_00017.png
91196.0,85132.0,106444.0,101764.0,92040.0,80248.0,70756.0,67160.0,67696.0,75688.0,91720.0,104104.0,112036.0,108476.0,98212.0,96492.0,101148.0,107664.0,113180.0,114588.0,114952.0,115728.0,114984.0,112796.0,106380.0,94964.0,97732.0,116512.0,129020.0,124052.0,109900.0,97496.0,84064.0,77632.0,75428.0,76032.0,74292.0,71900.0,79380.0,83680.0,0,Train/0/00000_00000_00018.png
82780.0,76632.0,110920.0,96104.0,83868.0,75412.0,65820.0,64624.0,65552.0,73536.0,91076.0,103256.0,112116.0,111616.0,95692.0,89456.0,98772.0,107616.0,112140.0,114620.0,116712.0,114784.0,114200.0,112892.0,109816.0,98392.0,95740.0,111996.0,122212.0,119104.0,114784.0,108184.0,91060.0,77380.0,72280.0,73984.0,78524.0,68096.0,63300.0,64576.0,0,Train/0/00000_00000_00019.png
78152.0,73160.0,106292.0,101272.0,97576.0,99956.0,97512.0,95180.0,71228.0,71040.0,90544.0,104144.0,110440.0,109648.0,96136.0,87940.0,94752.0,103544.0,108228.0,112244.0,112704.0,111684.0,112032.0,111220.0,111288.0,103260.0,101248.0,113436.0,125756.0,122188.0,113672.0,104456.0,92648.0,86732.0,86116.0,82996.0,84344.0,76048.0,69640.0,75464.0,0,Train/0/00000_00000_00020.png
92336.0,71148.0,79788.0,115544.0,106584.0,96136.0,71996.0,66792.0,66808.0,68676.0,83540.0,97908.0,104436.0,109552.0,102740.0,88176.0,91964.0,101756.0,112508.0,127232.0,121124.0,116048.0,119088.0,118136.0,112396.0,104724.0,91616.0,98044.0,127128.0,131212.0,127876.0,118396.0,103228.0,84868.0,77392.0,78616.0,94828.0,98020.0,75664.0,81132.0,0,Train/0/00000_00000_00021.png
132612.0,138068.0,144312.0,145516.0,132772.0,109116.0,100920.0,107636.0,100856.0,98036.0,94276.0,90560.0,92964.0,105700.0,118576.0,124964.0,118180.0,114320.0,117716.0,125580.0,127892.0,125128.0,123976.0,122116.0,108060.0,104220.0,117280.0,144752.0,176076.0,164000.0,156476.0,163696.0,160880.0,170036.0,169492.0,157824.0,147364.0,151552.0,157176.0,159324.0,0,Train/0/00000_00001_00000.png
143764.0,148916.0,144256.0,123156.0,91272.0,92976.0,102544.0,105676.0,97352.0,90132.0,87584.0,92336.0,106712.0,115268.0,118768.0,117308.0,112564.0,119100.0,125764.0,127004.0,121564.0,119728.0,118496.0,114116.0,99244.0,117920.0,154172.0,184820.0,172520.0,155200.0,156044.0,173232.0,179452.0,177064.0,168744.0,160368.0,162344.0,168172.0,179480.0,190508.0,0,Train/0/00000_00001_00001.png
150652.0,138200.0,116652.0,97780.0,110440.0,106248.0,99052.0,107192.0,97676.0,94216.0,101196.0,114416.0,125472.0,129872.0,125384.0,110056.0,108028.0,116240.0,125352.0,123660.0,121480.0,121232.0,118120.0,111608.0,108220.0,116692.0,168428.0,191504.0,180056.0,144584.0,145516.0,156772.0,167716.0,182772.0,190944.0,195136.0,197672.0,198148.0,200812.0,204316.0,0,Train/0/00000_00001_00002.png
130488.0,139724.0,147920.0,146360.0,130212.0,105548.0,106984.0,109524.0,99140.0,111116.0,99980.0,91692.0,94984.0,104552.0,115556.0,123268.0,122880.0,113868.0,110096.0,112460.0,118224.0,123472.0,123032.0,118568.0,116516.0,112904.0,107956.0,131804.0,170384.0,179360.0,152248.0,135644.0,147464.0,160656.0,167392.0,171068.0,189700.0,203900.0,207620.0,204344.0,0,Train/0/00000_00001_00003.png
135932.0,142280.0,144672.0,132860.0,104564.0,99764.0,101184.0,102472.0,101084.0,100704.0,92952.0,88200.0,93000.0,108920.0,119052.0,124336.0,121728.0,112256.0,112076.0,121124.0,125348.0,121508.0,118568.0,115636.0,112732.0,113264.0,123100.0,151444.0,174384.0,173000.0,149584.0,134056.0,141636.0,161652.0,180456.0,186972.0,198828.0,209384.0,212340.0,209484.0,0,Train/0/00000_00001_00004.png
129624.0,134612.0,143268.0,143792.0,127636.0,99596.0,102956.0,98508.0,95864.0,105484.0,91748.0,87408.0,91484.0,101896.0,114416.0,122032.0,117208.0,113880.0,115668.0,120540.0,124852.0,122944.0,119196.0,116124.0,113724.0,108928.0,114336.0,136016.0,153960.0,153656.0,150852.0,150448.0,152360.0,163740.0,184436.0,189732.0,213980.0,221056.0,214120.0,205952.0,0,Train/0/00000_00001_00005.png
122464.0,129256.0,138460.0,148504.0,140644.0,108984.0,94160.0,97792.0,91476.0,93456.0,92140.0,85840.0,88704.0,97452.0,111928.0,125272.0,120256.0,108180.0,109140.0,123628.0,126252.0,114108.0,107508.0,107304.0,108028.0,106360.0,106616.0,130176.0,140564.0,133304.0,133564.0,148848.0,162160.0,169012.0,201080.0,213448.0,216272.0,212020.0,202672.0,199288.0,0,Train/0/00000_00001_00006.png
135788.0,151888.0,145004.0,114512.0,89808.0,99448.0,93396.0,91108.0,91324.0,90248.0,86432.0,84224.0,99312.0,112760.0,121140.0,119732.0,108848.0,104580.0,112300.0,113652.0,112980.0,114720.0,117756.0,125700.0,126176.0,122420.0,128704.0,148068.0,162472.0,145728.0,140080.0,156560.0,178892.0,194372.0,213640.0,227488.0,230836.0,222080.0,206272.0,195892.0,0,Train/0/00000_00001_00007.png
143952.0,154608.0,144016.0,114264.0,92284.0,104484.0,99144.0,94468.0,94940.0,94748.0,89156.0,83604.0,97488.0,115744.0,127828.0,129348.0,121648.0,111892.0,109960.0,115708.0,125848.0,131256.0,125556.0,128368.0,133708.0,135192.0,137648.0,152048.0,183284.0,166556.0,151052.0,155312.0,175964.0,197812.0,216596.0,230600.0,237852.0,239884.0,232384.0,215724.0,0,Train/0/00000_00001_00008.png
147356.0,130436.0,105268.0,96936.0,102924.0,95816.0,99668.0,94560.0,91576.0,90460.0,91092.0,101824.0,114704.0,122988.0,120040.0,112524.0,111868.0,113952.0,119132.0,123252.0,137132.0,149088.0,137008.0,151384.0,145076.0,136384.0,152892.0,188008.0,195332.0,184072.0,174388.0,176248.0,189756.0,207320.0,222392.0,230428.0,235752.0,234000.0,225692.0,218272.0,0,Train/0/00000_00001_00009.png
142668.0,111744.0,97688.0,106784.0,110868.0,106016.0,104052.0,84760.0,86372.0,88236.0,103488.0,114716.0,118488.0,115604.0,107708.0,107348.0,112448.0,113160.0,121536.0,137596.0,149036.0,158920.0,170384.0,153664.0,140280.0,169880.0,184864.0,183072.0,178868.0,181268.0,190896.0,199268.0,213208.0,223528.0,229580.0,230336.0,233056.0,237148.0,233300.0,224680.0,0,Train/0/00000_00001_00010.png
148280.0,150756.0,131696.0,97252.0,98640.0,107672.0,102576.0,102884.0,99128.0,94628.0,95304.0,98540.0,107980.0,118884.0,119472.0,110060.0,110800.0,123788.0,120660.0,122112.0,131796.0,153944.0,171824.0,183248.0,184700.0,180896.0,184940.0,195708.0,190852.0,181848.0,179196.0,187404.0,193172.0,210144.0,220916.0,222364.0,225740.0,231792.0,234992.0,235640.0,0,Train/0/00000_00001_00011.png
159312.0,165928.0,134096.0,99096.0,95660.0,113432.0,115900.0,105380.0,117956.0,91288.0,91924.0,97896.0,113052.0,119800.0,123428.0,116508.0,104744.0,105112.0,109048.0,112184.0,136736.0,162384.0,163016.0,174276.0,182052.0,175900.0,171764.0,183060.0,188632.0,172028.0,161404.0,168188.0,189560.0,197932.0,213980.0,223832.0,222180.0,223372.0,225748.0,232120.0,0,Train/0/00000_00001_00012.png
155748.0,141532.0,107652.0,85164.0,113480.0,136616.0,123644.0,114360.0,115200.0,96624.0,93768.0,97240.0,112020.0,120716.0,124892.0,119920.0,110348.0,109348.0,114064.0,121240.0,144560.0,169800.0,181716.0,185716.0,184864.0,173852.0,165580.0,174108.0,180744.0,169056.0,150936.0,157436.0,180844.0,191244.0,206612.0,213752.0,212856.0,219480.0,221272.0,216224.0,0,Train/0/00000_00001_00013.png
131756.0,100748.0,103016.0,136408.0,143720.0,123272.0,103252.0,96276.0,97912.0,101924.0,113800.0,118344.0,126688.0,131388.0,118760.0,108984.0,124372.0,154524.0,171860.0,173180.0,173148.0,175668.0,158572.0,141424.0,134140.0,136872.0,149992.0,163324.0,155512.0,142784.0,138200.0,141260.0,142396.0,165868.0,185264.0,190972.0,195168.0,198792.0,197008.0,194588.0,0,Train/0/00000_00001_00014.png
153284.0,120756.0,101652.0,118644.0,145160.0,162356.0,133004.0,97852.0,98240.0,108464.0,113472.0,123316.0,137044.0,147636.0,144088.0,127240.0,121536.0,133236.0,153636.0,173120.0,175600.0,175680.0,151088.0,146460.0,139740.0,121432.0,137932.0,166420.0,165928.0,140892.0,114796.0,103552.0,119888.0,151064.0,166460.0,173632.0,172804.0,173996.0,180712.0,177656.0,0,Train/0/00000_00001_00015.png
164012.0,124472.0,97168.0,96940.0,117628.0,144592.0,142300.0,101784.0,88740.0,100336.0,119872.0,143792.0,142636.0,161020.0,168160.0,150956.0,134508.0,144236.0,160120.0,169016.0,174580.0,171012.0,165708.0,162280.0,141332.0,111224.0,114404.0,150124.0,165440.0,141944.0,114528.0,92952.0,108264.0,143256.0,182956.0,187892.0,188772.0,185956.0,188360.0,173876.0,0,Train/0/00000_00001_00016.png
174940.0,164576.0,116584.0,79528.0,88308.0,125624.0,102192.0,109636.0,87768.0,76680.0,86188.0,106528.0,140672.0,139476.0,127308.0,134676.0,132060.0,126940.0,136424.0,150844.0,152260.0,140592.0,135780.0,137036.0,131968.0,125360.0,112224.0,111432.0,127260.0,130948.0,126044.0,120484.0,119232.0,126932.0,149576.0,168756.0,175504.0,175600.0,176900.0,188080.0,0,Train/0/00000_00001_00017.png
136496.0,94472.0,79084.0,90376.0,111952.0,93516.0,87036.0,79152.0,76292.0,82716.0,95336.0,113148.0,122052.0,124956.0,128028.0,118684.0,108500.0,113252.0,126528.0,132532.0,134620.0,133200.0,130492.0,129108.0,126224.0,115996.0,106512.0,118744.0,133176.0,129408.0,117316.0,116276.0,125512.0,128952.0,144812.0,159236.0,172968.0,170824.0,176636.0,165016.0,0,Train/0/00000_00001_00018.png
126080.0,85216.0,82048.0,102880.0,109192.0,92160.0,79412.0,75300.0,78112.0,84612.0,97128.0,114316.0,129564.0,128900.0,122280.0,106080.0,108092.0,116392.0,123548.0,128536.0,121044.0,120656.0,121632.0,126076.0,122564.0,115392.0,123924.0,143800.0,129612.0,118200.0,107276.0,99804.0,124164.0,149884.0,165612.0,174616.0,188536.0,177104.0,171432.0,174080.0,0,Train/0/00000_00001_00019.png
91932.0,75448.0,97376.0,108504.0,89444.0,80528.0,72384.0,73680.0,82484.0,96680.0,115208.0,119928.0,123972.0,126524.0,115796.0,101596.0,108024.0,128116.0,146664.0,131840.0,122604.0,122672.0,122332.0,131724.0,140900.0,154376.0,146612.0,171228.0,166540.0,145988.0,137068.0,135120.0,154788.0,175628.0,178680.0,182804.0,186348.0,191720.0,183272.0,178816.0,0,Train/0/00000_00001_00020.png
81196.0,75304.0,104040.0,108960.0,101424.0,102032.0,76920.0,71328.0,79464.0,108656.0,140556.0,142120.0,130488.0,126132.0,112020.0,99060.0,104568.0,116308.0,133096.0,134592.0,124772.0,121320.0,126960.0,135828.0,139940.0,133108.0,144800.0,161772.0,165928.0,154684.0,158804.0,149052.0,144096.0,166412.0,187688.0,196456.0,194084.0,204872.0,202752.0,190736.0,0,Train/0/00000_00001_00021.png
104636.0,76100.0,82360.0,105528.0,99984.0,83952.0,98112.0,107332.0,95236.0,84496.0,100792.0,124828.0,134704.0,129324.0,122684.0,107636.0,104164.0,116632.0,120732.0,124952.0,126916.0,133696.0,154764.0,167440.0,153680.0,133984.0,119408.0,123632.0,144272.0,144184.0,141436.0,136540.0,132500.0,155656.0,180480.0,189080.0,200268.0,207868.0,220120.0,218352.0,0,Train/0/00000_00001_00022.png
86488.0,110404.0,111064.0,95120.0,84432.0,75536.0,75448.0,85880.0,96344.0,111044.0,117888.0,127576.0,131948.0,118140.0,99332.0,104108.0,112924.0,117948.0,121500.0,123556.0,121852.0,136888.0,149596.0,131548.0,110220.0,114104.0,141464.0,148576.0,126484.0,112160.0,103880.0,111068.0,138176.0,177460.0,188344.0,192332.0,196804.0,204836.0,215884.0,221440.0,0,Train/0/00000_00001_00023.png
71496.0,90924.0,113928.0,108748.0,102020.0,90948.0,76576.0,72740.0,84328.0,111056.0,127448.0,127744.0,126180.0,121916.0,106680.0,98188.0,105404.0,114464.0,119564.0,119468.0,119484.0,124652.0,139468.0,152664.0,143792.0,117632.0,101640.0,132380.0,153516.0,130996.0,112928.0,99388.0,99308.0,116760.0,124568.0,151912.0,149020.0,173352.0,191848.0,185808.0,0,Train/0/00000_00001_00024.png
65632.0,84496.0,116708.0,115132.0,104896.0,79640.0,68896.0,70356.0,79940.0,105712.0,119476.0,139624.0,145184.0,125540.0,103456.0,95260.0,102792.0,112156.0,118084.0,123052.0,120304.0,116284.0,117416.0,115924.0,122516.0,113388.0,100564.0,116656.0,122580.0,129456.0,135616.0,122960.0,92824.0,98940.0,116656.0,142280.0,121676.0,85276.0,110312.0,167120.0,0,Train/0/00000_00001_00025.png
72244.0,66088.0,98128.0,126524.0,123040.0,108056.0,86904.0,73884.0,89356.0,105392.0,104336.0,113260.0,118848.0,124248.0,120148.0,98884.0,95152.0,104096.0,111156.0,118316.0,119340.0,118596.0,118196.0,118452.0,132436.0,134416.0,95560.0,99444.0,118708.0,125380.0,123376.0,126992.0,113936.0,104780.0,107096.0,98364.0,108396.0,108188.0,130068.0,108192.0,0,Train/0/00000_00001_00026.png
63192.0,83804.0,109120.0,98424.0,83488.0,67712.0,66704.0,82712.0,84624.0,97024.0,110644.0,120356.0,122008.0,111508.0,97196.0,90100.0,97476.0,105568.0,111020.0,113872.0,115672.0,115236.0,115328.0,121564.0,124768.0,111072.0,111648.0,125856.0,120024.0,113004.0,105064.0,103180.0,92024.0,92260.0,91176.0,94508.0,116324.0,109304.0,138432.0,152964.0,0,Train/0/00000_00001_00027.png
78184.0,64968.0,80708.0,97624.0,82720.0,77064.0,68612.0,64768.0,66124.0,82928.0,100620.0,109324.0,116396.0,118540.0,109760.0,95284.0,89452.0,94352.0,100452.0,105000.0,109224.0,113064.0,110896.0,109752.0,110052.0,111696.0,97884.0,91532.0,107884.0,121488.0,117096.0,113668.0,118432.0,109952.0,104652.0,92168.0,89284.0,129976.0,155320.0,156284.0,0,Train/0/00000_00001_00028.png
123096.0,138356.0,156692.0,156312.0,155160.0,153744.0,150928.0,150752.0,151500.0,146428.0,141944.0,139796.0,144000.0,147140.0,146976.0,140780.0,136332.0,137412.0,138928.0,139864.0,139224.0,143704.0,148044.0,146040.0,142484.0,140468.0,145564.0,145156.0,139860.0,134844.0,134676.0,138912.0,140892.0,144068.0,148916.0,154496.0,161012.0,169436.0,190256.0,205376.0,0,Train/0/00000_00002_00000.png
133740.0,119240.0,115316.0,139388.0,153028.0,154784.0,148092.0,149428.0,149608.0,147828.0,144960.0,140528.0,137932.0,138944.0,143208.0,143472.0,138784.0,131856.0,131800.0,134936.0,134044.0,134152.0,133996.0,133084.0,133252.0,136716.0,141948.0,143172.0,139916.0,134160.0,128844.0,132352.0,137600.0,139564.0,137608.0,140912.0,149756.0,152940.0,163484.0,173560.0,0,Train/0/00000_00002_00001.png
125308.0,111956.0,110368.0,137012.0,151664.0,154124.0,147708.0,146616.0,146060.0,145548.0,144860.0,139084.0,134396.0,134952.0,138972.0,140340.0,137168.0,129644.0,128392.0,130764.0,131428.0,131644.0,130644.0,128592.0,127116.0,125696.0,126252.0,137680.0,140080.0,134828.0,126932.0,124788.0,127336.0,133436.0,137088.0,137680.0,136544.0,138164.0,145884.0,153224.0,0,Train/0/00000_00002_00002.png
112516.0,130240.0,145592.0,146804.0,148368.0,149676.0,150496.0,150676.0,145684.0,139748.0,136676.0,140980.0,144996.0,145948.0,142348.0,136124.0,132736.0,132056.0,132988.0,133088.0,133120.0,132884.0,131200.0,127292.0,126128.0,130856.0,135952.0,136552.0,132640.0,126568.0,127788.0,130988.0,133428.0,133824.0,136628.0,139060.0,138328.0,141388.0,146296.0,150252.0,0,Train/0/00000_00002_00003.png
116124.0,135500.0,148200.0,141736.0,141876.0,144196.0,147168.0,148616.0,145960.0,140364.0,134604.0,134480.0,141024.0,145560.0,143188.0,134608.0,131016.0,132340.0,136168.0,134848.0,132196.0,130012.0,126940.0,124244.0,123276.0,125080.0,131568.0,133144.0,129672.0,124248.0,124772.0,127680.0,130556.0,129292.0,129028.0,129964.0,132376.0,136736.0,138208.0,137232.0,0,Train/0/00000_00002_00004.png
103852.0,102960.0,118764.0,139440.0,141020.0,139560.0,138696.0,138840.0,139852.0,142496.0,140064.0,138136.0,138240.0,138624.0,141072.0,136484.0,128688.0,123868.0,126560.0,126496.0,125516.0,124196.0,121752.0,119220.0,115652.0,117292.0,127036.0,129532.0,126032.0,120488.0,118012.0,125352.0,133312.0,133200.0,127804.0,124768.0,124144.0,127908.0,133392.0,136920.0,0,Train/0/00000_00002_00005.png
102100.0,125664.0,138900.0,132848.0,132916.0,133320.0,133940.0,133920.0,131924.0,127100.0,125620.0,128680.0,132648.0,139252.0,139408.0,131772.0,121296.0,122724.0,125476.0,124768.0,120644.0,120708.0,121552.0,120380.0,113788.0,110144.0,113320.0,120768.0,121344.0,119296.0,115660.0,113312.0,116484.0,127724.0,137868.0,142388.0,140232.0,129204.0,122036.0,121864.0,0,Train/0/00000_00002_00006.png
131148.0,138604.0,139200.0,133460.0,131176.0,129384.0,130068.0,128024.0,120976.0,115968.0,115728.0,119684.0,125240.0,127344.0,126616.0,121672.0,117916.0,119668.0,121776.0,122356.0,122768.0,122264.0,118444.0,116396.0,113664.0,114248.0,120484.0,119568.0,115840.0,110964.0,107744.0,110068.0,114496.0,116564.0,121868.0,137312.0,151756.0,153764.0,140652.0,123056.0,0,Train/0/00000_00002_00007.png
93360.0,129924.0,144720.0,138512.0,134988.0,133752.0,132188.0,128640.0,123660.0,118764.0,114796.0,112616.0,115164.0,119632.0,121464.0,118256.0,111448.0,109940.0,113120.0,116420.0,114932.0,115192.0,114724.0,114468.0,114152.0,107856.0,111136.0,116248.0,118812.0,116272.0,109844.0,103264.0,102676.0,106908.0,111216.0,110836.0,109712.0,113428.0,125652.0,140560.0,0,Train/0/00000_00002_00008.png
137992.0,152320.0,157876.0,153432.0,145640.0,138532.0,133968.0,130104.0,122600.0,115024.0,112636.0,114984.0,117728.0,119360.0,114772.0,107356.0,104668.0,108292.0,110976.0,111640.0,110784.0,109892.0,109812.0,109772.0,104096.0,106008.0,114032.0,120492.0,119428.0,110972.0,104776.0,102056.0,103764.0,108104.0,107724.0,108516.0,107468.0,107372.0,109860.0,113736.0,0,Train/0/00000_00002_00009.png
142080.0,157876.0,163044.0,162732.0,160576.0,155288.0,150044.0,138440.0,126108.0,118912.0,116828.0,117776.0,119160.0,118652.0,112068.0,104144.0,102928.0,105348.0,106672.0,106368.0,105328.0,107140.0,108380.0,106084.0,102800.0,103908.0,112264.0,116000.0,116000.0,114260.0,110932.0,108576.0,109680.0,108740.0,106312.0,104188.0,104456.0,104772.0,103840.0,104428.0,0,Train/0/00000_00002_00010.png
